customer_id,gender,tenure_month,contract_type,internet_service,monthly_charges,total_charges,usage_gb,support_tickets,late_payments,churn
CUST00001,Male,39,Month-to-month,No,73.72,2709.51,150.2,2,0,Yes
CUST00002,Female,5,Two year,DSL,60.32,471.07,107.9,5,1,Yes
CUST00003,Male,65,One year,No,73.98,4583.55,79.7,4,1,No
CUST00004,Male,13,Month-to-month,DSL,43.84,498.27,110.2,1,0,Yes
CUST00005,Male,53,Month-to-month,No,102.1,5407.96,142.8,3,1,No
CUST00006,Female,45,One year,Fiber optic,70.29,3284.67,153.2,3,0,No
CUST00007,Male,32,Month-to-month,DSL,61.01,2173.01,79.5,1,2,Yes
CUST00008,Male,36,One year,Fiber optic,74.13,2791.57,108.8,1,1,No
CUST00009,Male,60,Two year,DSL,103.71,6449.15,151.3,1,0,No
CUST00010,Female,11,One year,DSL,81.02,758.55,337.0,1,0,Yes
CUST00011,Male,63,Month-to-month,No,45.58,3062.0,76.9,1,1,Yes
CUST00012,Male,21,One year,No,88.69,2025.48,91.2,3,0,Yes
CUST00013,Male,52,Month-to-month,DSL,56.63,2561.36,41.4,0,0,No
CUST00014,Male,55,Month-to-month,Fiber optic,28.41,1527.28,87.6,0,0,Yes
CUST00015,Female,26,Two year,Fiber optic,112.41,3018.99,110.0,1,2,Yes
CUST00016,Male,68,Month-to-month,DSL,88.52,5936.89,93.3,1,0,No
CUST00017,Female,34,Two year,Fiber optic,76.2,2417.07,60.2,2,1,No
CUST00018,Female,52,Two year,Fiber optic,70.05,3980.87,87.3,2,1,No
CUST00019,Female,52,Month-to-month,Fiber optic,110.13,5744.53,55.5,2,0,Yes
CUST00020,Male,29,Month-to-month,Fiber optic,130.0,3792.14,180.6,0,0,Yes
CUST00021,Female,38,Month-to-month,Fiber optic,88.32,3146.72,122.4,1,2,Yes
CUST00022,Male,42,Month-to-month,Fiber optic,54.32,2183.46,82.3,0,0,No
CUST00023,Female,21,Month-to-month,Fiber optic,74.45,1419.8,74.3,2,1,Yes
CUST00024,Female,42,One year,Fiber optic,87.9,3864.44,151.8,1,0,No
CUST00025,Female,13,Month-to-month,No,23.96,392.22,32.9,1,0,Yes
CUST00026,Female,64,Month-to-month,Fiber optic,85.69,5392.87,209.3,0,0,No
CUST00027,Female,17,Two year,Fiber optic,88.04,1586.36,171.8,2,0,Yes
CUST00028,Female,9,Month-to-month,DSL,108.51,936.03,47.5,0,0,No
CUST00029,Female,41,Two year,Fiber optic,106.11,4388.03,127.5,1,0,Yes
CUST00030,Female,1,Month-to-month,No,80.56,117.32,54.4,0,0,No
CUST00031,Male,2,Month-to-month,DSL,112.84,292.92,46.9,1,0,Yes
CUST00032,Male,60,One year,Fiber optic,124.82,7537.14,34.2,2,0,No
CUST00033,Female,48,One year,Fiber optic,78.64,3842.09,43.6,2,1,No
CUST00034,Female,29,Two year,No,87.62,2741.91,223.7,2,1,No
CUST00035,Female,10,One year,No,37.35,475.99,190.7,1,1,No
CUST00036,Male,58,Two year,DSL,44.63,2534.64,104.5,5,1,Yes
CUST00037,Female,60,Month-to-month,DSL,58.72,3507.53,58.3,1,1,No
CUST00038,Male,21,Month-to-month,Fiber optic,67.8,1620.63,184.3,0,1,No
CUST00039,Male,28,One year,No,52.79,1496.11,150.6,2,0,Yes
CUST00040,Male,34,Two year,Fiber optic,77.17,2563.94,106.0,0,0,No
CUST00041,Male,8,Two year,No,68.48,446.86,111.0,1,2,Yes
CUST00042,Male,59,Month-to-month,DSL,102.63,6098.86,192.3,2,0,Yes
CUST00043,Female,72,Month-to-month,DSL,67.08,4692.98,29.3,1,0,No
